No;Nama Aset;ID Functloc;Techidentno;Jenis Aset;Merk;Serial ID;Phasa;Status Asset;Fungsi;Tipe Aset;Daya;Tegangan;Tahun Buat;Tahun Operasi;Status Usia;Unit Induk;Unit Pelaksana;Ultg;Gardu Induk;Bay;Penempatan;AHI;Jumlah Parameter Pemicu;Parameter Pemicu;Jumlah Sub Sistem Pemicu;Kualitas Data
1;25341401801800000003 - Substation Rectifier - CDP - CD-0511-1-648 - RST;TRS-3414-018.018-G0001;="25341401801800000003";Substation Rectifier;CDP;="CD-0511-1-648";RST;PLN_OPERASI;-;CD-9R-110/ 48308;-;-;2016;-;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;GEDUNG;RECTIFIER 110V UNIT 1;1 - Very Good;0;-;0;62.78%
2;24341401801800000002 - Substation Battery - HBL - unit 2/3156299S120002-01A - RST;TRS-3414-018.018-G0001;="24341401801800000002";Substation Battery;HBL;="unit 2/3156299S120002-01A";RST;PLN_OPERASI;-;KPM 212P;-;-;2017;2017;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;GEDUNG;BATERE 110 VDC UNIT 1;2 - Good;0;-;0;59.58%
3;15312701801800000001 - Disconnecting Switch - COELME - 8895/1-8898/9-8896/3 - RST;TRS-3414-018.018-B0002;="15312701801800000001";Disconnecting Switch;COELME;="8895/1-8898/9-8896/3";RST;PLN_OPERASI;-;SDC;-;150 kV;1994;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;BUS;1 - Very Good;0;-;0;71.43%
4;13341401801800000040 - Current Transformer - ABB - AJ22110459 - R;TRS-3414-018.018-B0002;="13341401801800000040";Current Transformer;ABB;="AJ22110459";R;PLN_OPERASI;U;LB7 - 170;-;150 kV;2022;2023;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;CILEGON BARU #1;2 - Good;0;-;0;41.85%
5;14341401801800000001 - Circuit Breaker - UNINDO - 133000000000 - S;TRS-3414-018.018-B0002;="14341401801800000001";Circuit Breaker;UNINDO;="133000000000";S;PLN_OPERASI;-;GL313F1/4031P;-;150 kV;2018;2020;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;BAY CILEGON BARU 1;3 - Fair;0;-;0;80.98%
6;57341401801800000001 - Differential Relay - ABB - 8888 - RST;TRS-3414-018.018-B0002;="57341401801800000001";Differential Relay;ABB;="8888";RST;PLN_OPERASI;87L;GRL200;-;150 kV;2018;-;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;PANEL;1 - Very Good;0;-;0;76.67%
7;16312701801800000001 - Lightning Arrester - ABB - 8331169 - R;TRS-3414-018.018-B0002;="16312701801800000001";Lightning Arrester;ABB;="8331169";R;PLN_OPERASI;-;EXLIM R162-AH14 - 70KV;-;150 kV;1996;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;BAY PHT;3 - Fair;0;-;0;100.0%
8;13341401801800000042 - Current Transformer - TRENCH - 2200593 - T;TRS-3414-018.018-B0002;="13341401801800000042";Current Transformer;TRENCH;="2200593";T;PLN_OPERASI;U;IOSK - 170;-;150 kV;2021;2023;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;CILEGON BARU #1;2 - Good;0;-;0;41.85%
9;15312701801800000002 - Disconnecting Switch - COELME - 8896/1-8889/2-8897/3 - RST;TRS-3414-018.018-B0002;="15312701801800000002";Disconnecting Switch;COELME;="8896/1-8889/2-8897/3";RST;PLN_OPERASI;-;SDC;-;150 kV;1994;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;LINE;2 - Good;0;-;0;85.71%
10;16312701801800000003 - Lightning Arrester - ABB - 8331114 - S;TRS-3414-018.018-B0002;="16312701801800000003";Lightning Arrester;ABB;="8331114";S;PLN_OPERASI;-;EXLIM R162-AH14 - 70KV;-;150 kV;1996;1997;-;UITJBB;UPT CILEGON;ULTG CILEGON;GI 150KV ALINDO;PHT 150KV CILEGON BARU#1;BAY PHT;2 - Good;0;-;0;100.0%
